Rate	34.48
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Sigma^2 1 - Dev	Sigma^2 1 - Tried	Sigma^2 1 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
303	0.178218	369	0.051491	40	0.750000	288	0.416667	23.461832	197	0.213198	21.043117	106	0.113208	8.984416	288	0.416667	0.223000	0.428506	
298	0.120805	357	0.067227	34	0.588235	311	0.356913	23.461832	197	0.152284	15.251594	101	0.059406	16.668920	311	0.356913	0.191000	0.408716	
302	0.158940	348	0.077586	46	0.673913	304	0.404605	17.974930	181	0.215470	7.856284	121	0.074380	16.668920	304	0.404605	0.229000	0.394893	
307	0.188925	360	0.063889	41	0.487805	292	0.376712	17.974930	180	0.216667	4.868202	127	0.149606	27.049419	292	0.376712	0.211000	0.381758	
340	0.220588	360	0.075000	32	0.750000	268	0.376866	17.974930	179	0.262570	3.668227	161	0.173913	27.049419	268	0.376866	0.227000	0.371442	
386	0.233161	325	0.083077	48	0.500000	241	0.460581	17.974930	190	0.226316	2.401238	196	0.239796	27.049419	241	0.460581	0.252000	0.363977	
324	0.246914	375	0.090667	38	0.631579	263	0.406844	17.974930	160	0.225000	2.401238	164	0.268293	29.121140	263	0.406844	0.245000	0.356979	
357	0.224090	319	0.075235	12	0.500000	312	0.214744	17.974930	189	0.227513	2.401238	168	0.220238	47.168258	312	0.214744	0.177000	0.346981	
352	0.196023	337	0.056380	34	0.323529	277	0.220217	17.974930	185	0.200000	2.401238	167	0.191617	47.168258	277	0.220217	0.160000	0.337140	
356	0.199438	335	0.038806	43	0.604651	266	0.323308	17.974930	158	0.151899	1.562507	198	0.237374	47.168258	266	0.323308	0.196000	0.330083	
343	0.282799	356	0.058989	33	0.727273	268	0.250000	9.345828	168	0.303571	1.562507	175	0.262857	47.168258	268	0.250000	0.209000	0.324318	
352	0.306818	361	0.066482	22	0.590909	265	0.316981	9.345828	175	0.325714	1.562507	177	0.288136	47.168258	265	0.316981	0.229000	0.319985	
342	0.377193	327	0.048930	35	0.428571	296	0.199324	9.345828	182	0.412088	1.562507	160	0.337500	47.168258	296	0.199324	0.219000	0.315595	
356	0.325843	341	0.079179	30	0.700000	273	0.307692	11.042402	175	0.320000	1.562507	181	0.331492	31.193173	273	0.307692	0.248000	0.312779	
360	0.280556	352	0.065341	34	0.617647	254	0.330709	11.042402	180	0.338889	1.562507	180	0.222222	31.193173	254	0.330709	0.229000	0.309428	
371	0.247978	326	0.046012	26	0.384615	277	0.299639	11.042402	168	0.267857	1.562507	203	0.231527	31.193173	277	0.299639	0.200000	0.305219	
365	0.276712	335	0.071642	21	0.380952	279	0.290323	11.042402	191	0.308901	1.562507	174	0.241379	31.193173	279	0.290323	0.214000	0.301841	
347	0.325648	346	0.052023	37	0.459459	270	0.362963	11.042402	152	0.302632	1.562507	195	0.343590	31.193173	270	0.362963	0.246000	0.299846	
362	0.279006	341	0.035191	29	0.482759	268	0.391791	11.042402	177	0.282486	1.562507	185	0.275676	31.193173	268	0.391791	0.232000	0.297507	
351	0.250712	322	0.055901	40	0.475000	287	0.327526	11.042402	179	0.240223	1.562507	172	0.261628	31.193173	287	0.327526	0.219000	0.294890	
322	0.319876	382	0.065445	30	0.466667	266	0.372180	11.042402	155	0.329032	1.562507	167	0.311377	31.193173	266	0.372180	0.241000	0.293152	
342	0.327485	333	0.066066	41	0.512195	284	0.330986	11.042402	162	0.339506	1.562507	180	0.316667	31.193173	284	0.330986	0.249000	0.291772	
335	0.265672	350	0.077143	44	0.613636	271	0.428044	11.042402	156	0.269231	1.562507	179	0.262570	31.193173	271	0.428044	0.259000	0.290779	
337	0.308605	339	0.064897	37	0.567568	287	0.257840	11.042402	164	0.341463	1.562507	173	0.277457	40.302638	287	0.257840	0.221000	0.288727	
351	0.301994	334	0.047904	43	0.534884	272	0.183824	11.042402	174	0.304598	1.562507	177	0.299435	40.302638	272	0.183824	0.195000	0.286049	
344	0.325581	356	0.053371	33	0.606061	267	0.370787	11.042402	166	0.313253	1.562507	178	0.337079	28.415084	267	0.370787	0.250000	0.285048	
345	0.257971	356	0.084270	30	0.400000	269	0.405204	11.042402	182	0.285714	1.562507	163	0.226994	28.415084	269	0.405204	0.240000	0.283830	
312	0.278846	400	0.040000	28	0.607143	260	0.342308	11.042402	167	0.275449	1.562507	145	0.282759	40.583438	260	0.342308	0.209000	0.281861	
374	0.296791	312	0.070513	37	0.648649	277	0.404332	11.042402	166	0.319277	1.562507	208	0.278846	40.583438	277	0.404332	0.269000	0.281531	
332	0.265060	330	0.036364	46	0.478261	292	0.280822	11.042402	168	0.279762	1.562507	164	0.250000	42.675184	292	0.280822	0.204000	0.279593	
345	0.223188	344	0.066860	28	0.285714	283	0.247350	11.042402	171	0.269006	1.562507	174	0.178161	42.675184	283	0.247350	0.178000	0.277115	
359	0.415042	335	0.110448	42	0.476190	264	0.310606	11.042402	170	0.376471	1.028337	189	0.449735	42.675184	264	0.310606	0.288000	0.277374	
369	0.314363	321	0.080997	31	0.451613	279	0.268817	11.042402	195	0.369231	1.623440	174	0.252874	42.675184	279	0.268817	0.231000	0.276296	
352	0.275568	345	0.081159	38	0.500000	265	0.309434	11.042402	160	0.337500	1.623440	192	0.223958	42.675184	265	0.309434	0.226000	0.275153	
352	0.298295	317	0.047319	48	0.479167	283	0.293286	11.042402	162	0.259259	1.623440	190	0.331579	42.675184	283	0.293286	0.226000	0.274061	
333	0.324324	319	0.068966	38	0.315789	310	0.319355	11.042402	170	0.323529	1.623440	163	0.325153	42.675184	310	0.319355	0.241000	0.273342	
339	0.297935	385	0.070130	32	0.656250	244	0.307377	11.042402	164	0.359756	1.623440	175	0.240000	42.675184	244	0.307377	0.224000	0.272292	
347	0.230548	345	0.052174	29	0.586207	279	0.243728	11.042402	182	0.247253	1.623440	165	0.212121	42.675184	279	0.243728	0.183000	0.270432	
347	0.276657	331	0.069486	31	0.483871	291	0.288660	11.042402	167	0.269461	1.623440	180	0.283333	42.675184	291	0.288660	0.218000	0.269362	
341	0.240469	366	0.068306	25	0.480000	268	0.264925	11.042402	163	0.239264	1.623440	178	0.241573	42.675184	268	0.264925	0.190000	0.267775	
368	0.323370	339	0.070796	28	0.535714	265	0.264151	11.042402	178	0.365169	1.623440	190	0.284211	42.675184	265	0.264151	0.228000	0.266995	
