Rate	34.48
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Sigma^2 1 - Dev	Sigma^2 1 - Tried	Sigma^2 1 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
324	0.311728	344	0.058140	39	0.410256	293	0.761092	11.801641	151	0.350993	1.748876	173	0.277457	5.073529	293	0.761092	0.360000	0.392146	
369	0.241192	319	0.040752	33	0.545455	279	0.577061	11.801641	177	0.259887	1.748876	192	0.223958	8.703542	279	0.577061	0.281000	0.382885	
342	0.286550	360	0.050000	53	0.622642	245	0.502041	11.801641	150	0.293333	1.748876	192	0.281250	17.139510	245	0.502041	0.272000	0.374356	
377	0.334218	355	0.059155	29	0.620690	239	0.485356	11.801641	183	0.371585	1.748876	194	0.298969	19.212185	239	0.485356	0.281000	0.367688	
344	0.284884	337	0.044510	43	0.395349	276	0.347826	11.801641	181	0.281768	1.748876	163	0.288344	31.907559	276	0.347826	0.226000	0.358243	
331	0.274924	352	0.053977	35	0.514286	282	0.446809	11.801641	170	0.270588	1.748876	161	0.279503	31.907559	282	0.446809	0.254000	0.351728	
340	0.311765	358	0.072626	35	0.400000	267	0.277154	11.801641	167	0.389222	1.748876	173	0.236994	49.393489	267	0.277154	0.220000	0.343980	
333	0.300300	341	0.035191	38	0.500000	288	0.315972	11.801641	168	0.261905	1.748876	165	0.339394	49.393489	288	0.315972	0.222000	0.337203	
329	0.252280	349	0.045845	30	0.466667	292	0.263699	11.801641	161	0.211180	1.748876	168	0.291667	49.393489	292	0.263699	0.190000	0.329456	
388	0.296392	314	0.044586	22	0.454545	276	0.297101	11.801641	195	0.307692	1.748876	193	0.284974	49.393489	276	0.297101	0.221000	0.324034	
351	0.301994	338	0.068047	44	0.431818	267	0.280899	11.801641	189	0.259259	1.748876	162	0.351852	49.393489	267	0.280899	0.223000	0.319223	
329	0.270517	375	0.106667	38	0.552632	258	0.255814	11.801641	173	0.323699	1.748876	156	0.211538	49.393489	258	0.255814	0.216000	0.314531	
333	0.249249	367	0.081744	28	0.357143	272	0.294118	11.801641	166	0.265060	1.748876	167	0.233533	49.393489	272	0.294118	0.203000	0.309682	
349	0.255014	300	0.073333	34	0.529412	317	0.309148	11.801641	178	0.292135	1.748876	171	0.216374	49.393489	317	0.309148	0.227000	0.306237	
358	0.318436	328	0.115854	30	0.600000	284	0.313380	11.801641	186	0.311828	1.748876	172	0.325581	49.393489	284	0.313380	0.259000	0.304348	
