generation,leftchild,rightchild,abstime,betainit,betashift
0,t140,t100,0,0.5,0
10,t140,t100,0,0.5,0
10,t140,t123,1.75029,93.4705,-0.300614
20,t140,t100,0,0.5,0
20,t140,t123,1.75029,93.4705,-0.300614
30,t140,t100,0,0.5,0
30,t140,t123,1.65572,93.4705,-0.300614
40,t140,t100,0,0.726284,0
40,t140,t123,1.65572,93.4705,-0.300614
50,t140,t100,0,1.18779,0
50,t140,t123,1.65572,93.4705,-0.300614
60,t140,t100,0,1.18779,0
60,t140,t123,1.65572,93.4705,-0.300614
70,t140,t100,0,1.18779,0
70,t140,t123,1.65572,93.4705,-0.300614
80,t140,t100,0,1.18779,0
80,t140,t123,1.60357,93.4705,-0.300614
90,t140,t100,0,1.18779,0
90,t140,t123,1.60357,93.4705,-0.300614
100,t140,t100,0,1.61027,0
100,t140,t123,1.60357,93.4705,-0.300614
110,t140,t100,0,1.61027,0
110,t140,t123,1.60357,93.4705,-0.300614
120,t140,t100,0,1.61027,0
120,t140,t123,1.60357,93.4705,-0.300614
130,t140,t100,0,1.61027,0
130,t140,t123,1.60357,93.4705,-0.300614
140,t140,t100,0,1.61027,0
140,t140,t123,1.60357,93.4705,-0.300614
150,t140,t100,0,1.61027,0
150,t140,t123,1.60357,93.4705,-0.300614
160,t140,t100,0,1.61027,0
160,t140,t123,1.54314,93.4705,-0.300614
170,t140,t100,0,1.61027,0
170,t140,t123,1.46247,93.4705,-0.300614
180,t140,t100,0,1.61027,0
180,t140,t123,1.37252,93.4705,-0.300614
190,t140,t100,0,1.61027,0
190,t140,t123,1.37252,70.5607,-0.300614
200,t140,t100,0,1.61027,0
200,t140,t123,1.28955,70.5607,-0.300614
210,t140,t100,0,1.61027,0
210,t140,t123,1.28955,70.5607,-0.300614
210,t79,NA,3.97391,66.221,-0.376324
220,t140,t100,0,1.61027,0.885707
220,t140,t123,1.28955,70.5607,-0.300614
220,t79,NA,3.97391,66.221,-0.376324
230,t140,t100,0,1.61027,0.885707
230,t140,t123,1.28955,70.5607,-0.300614
240,t140,t100,0,1.61027,0.885707
240,t140,t123,1.28955,70.5607,-0.300614
250,t140,t100,0,1.61027,0.885707
250,t140,t123,1.28955,70.5607,-0.300614
260,t140,t100,0,1.61027,0.885707
260,t140,t123,1.31626,70.5607,-0.300614
270,t140,t100,0,1.61027,0.885707
270,t140,t123,1.31626,70.5607,-0.300614
280,t140,t100,0,1.61027,0.885707
280,t140,t123,1.28351,70.5607,-0.300614
290,t140,t100,0,1.61027,0.885707
290,t140,t123,1.28351,70.5607,-0.300614
300,t140,t100,0,1.61027,0.885707
300,t140,t123,1.28351,70.5607,-0.300614
310,t140,t100,0,1.60718,0.885707
310,t140,t123,1.28351,70.5607,-0.300614
320,t140,t100,0,1.60718,0.885707
320,t140,t123,1.28351,70.5607,-0.300614
330,t140,t100,0,1.33653,0.885707
330,t140,t36,1.18905,70.5607,-0.300614
340,t140,t100,0,1.33653,0.885707
340,t140,t36,1.18905,70.5607,-0.300614
350,t140,t100,0,1.33653,0.885707
350,t140,t36,1.18905,70.5607,-0.300614
360,t140,t100,0,1.33653,0.885707
360,t140,t36,1.18905,70.5607,-0.300614
370,t140,t100,0,1.33653,0.885707
370,t140,t36,1.18905,70.5607,-0.300614
380,t140,t100,0,1.33653,0.885707
380,t140,t36,1.18905,70.5607,-0.300614
390,t140,t100,0,1.33653,0.885707
390,t140,t36,1.18905,70.5607,-0.300614
400,t140,t100,0,0.872008,0.885707
400,t140,t36,1.22006,70.5607,-0.300614
410,t140,t100,0,0.872008,0.885707
410,t140,t36,1.22006,70.5607,-0.300614
420,t140,t100,0,0.872008,0.885707
420,t140,t36,1.22006,70.5607,-0.300614
430,t140,t100,0,0.872008,0.885707
430,t140,t36,1.22006,70.5607,-0.300614
440,t140,t100,0,0.532922,0.885707
440,t140,t36,1.22006,70.5607,-0.300614
450,t140,t100,0,0.532922,0.885707
450,t140,t36,1.22006,70.5607,-0.300614
460,t140,t100,0,0.532922,0.885707
460,t140,t36,1.22006,70.5607,-0.300614
470,t140,t100,0,0.532922,0.885707
470,t140,t36,1.22006,70.5607,-0.300614
480,t140,t100,0,0.532922,0.885707
480,t140,t36,1.22006,70.5607,-0.300614
490,t140,t100,0,0.532922,0.885707
490,t140,t36,1.22006,70.5607,-0.300614
500,t140,t100,0,0.532922,0.532276
500,t140,t36,1.22006,70.5607,-0.300614
510,t140,t100,0,0.532922,0.532276
510,t140,t36,1.22006,70.5607,-0.300614
520,t140,t100,0,0.532922,0.532276
520,t140,t36,1.22006,61.2487,-0.300614
520,t140,t130,0.442197,3.02017,-0.0656623
530,t140,t100,0,0.532922,0.532276
530,t140,t36,1.22006,61.2487,-0.300614
530,t140,t130,0.442197,3.49967,-0.0656623
540,t140,t100,0,0.532922,0.532276
540,t140,t36,1.22006,50.1545,-0.558844
540,t140,t130,0.442197,3.49967,-0.0656623
550,t140,t100,0,0.532922,0.532276
550,t140,t36,1.22006,50.1545,-0.558844
550,t140,t130,0.442197,3.49967,-0.0656623
560,t140,t100,0,0.532922,0.532276
560,t140,t36,1.22006,50.1545,-0.558844
560,t140,t130,0.442197,3.49967,-0.0656623
570,t140,t100,0,0.532922,0.532276
570,t140,t36,1.22006,50.1545,-0.558844
570,t140,t130,0.442197,3.49967,-0.0656623
580,t140,t100,0,0.532922,0.532276
580,t140,t36,1.22006,50.1545,-0.558844
580,t140,t130,0.442197,3.49967,-0.0656623
590,t140,t100,0,0.532922,0.532276
590,t140,t36,1.22006,50.1545,-0.558844
590,t140,t130,0.442197,3.49967,-0.0656623
600,t140,t100,0,0.532922,0.532276
600,t140,t36,1.22006,50.1545,-0.558844
600,t140,t130,0.442197,3.49967,-0.0656623
610,t140,t100,0,0.532922,0.532276
610,t140,t36,1.1403,62.7443,-0.558844
610,t140,t130,0.442197,3.49967,-0.0656623
620,t140,t100,0,0.532922,0.532276
620,t140,t36,1.1403,62.7443,-0.558844
620,t140,t130,0.442197,3.49967,-0.0656623
630,t140,t100,0,0.532922,0.532276
630,t140,t36,1.1403,62.7443,-0.558844
630,t140,t130,0.457623,3.49967,-0.0656623
640,t140,t100,0,0.532922,0.532276
640,t140,t36,1.1403,62.7443,-0.558844
640,t140,t130,0.457623,3.49967,-0.0656623
650,t140,t100,0,0.532922,0.532276
650,t140,t36,1.1403,62.7443,-0.558844
650,t140,t130,0.457623,3.49967,-0.0656623
660,t140,t100,0,0.532922,0.532276
660,t140,t36,1.1403,62.7443,-0.558844
660,t140,t130,0.457623,3.49967,-0.0656623
