tree_name,n_tips,birth,death,clade_size,shift_node,subclade
t1_N10_clade0.2_b1.5_d0.5,10,1.5,0.5,2,16,t6 t3
t1_N50_clade0.2_b1.5_d0.5,50,1.5,0.5,10,75,t19 t48 t16 t50 t17 t4 t18 t5 t3 t47
t1_N100_clade0.2_b1.5_d0.5,100,1.5,0.5,20,134,t100 t71 t90 t15 t74 t61 t59 t44 t75 t93 t86 t29 t28 t7 t34 t37 t8 t84 t88 t97
t1_N200_clade0.2_b1.5_d0.5,200,1.5,0.5,40,289,t127 t87 t156 t170 t121 t36 t186 t16 t110 t139 t60 t141 t100 t20 t104 t132 t75 t155 t51 t169 t25 t3 t133 t144 t74 t120 t122 t89 t70 t19 t4 t101 t27 t10 t116 t30 t147 t84 t97 t5
t1_N400_clade0.2_b1.5_d0.5,400,1.5,0.5,80,404,t209 t266 t298 t282 t227 t390 t140 t293 t100 t344 t106 t9 t315 t181 t223 t353 t35 t26 t38 t57 t67 t370 t296 t176 t278 t2 t214 t250 t247 t31 t224 t325 t202 t311 t65 t77 t33 t393 t168 t92 t283 t257 t201 t121 t231 t382 t153 t68 t385 t193 t312 t163 t289 t165 t290 t145 t105 t301 t10 t94 t218 t160 t49 t177 t116 t40 t313 t172 t41 t391 t367 t58 t326 t14 t139 t131 t368 t59 t169 t179
t2_N10_clade0.2_b1.5_d0.5,10,1.5,0.5,2,19,t7 t5
t2_N50_clade0.2_b1.5_d0.5,50,1.5,0.5,10,74,t8 t50 t12 t35 t22 t14 t38 t34 t21 t4
t2_N100_clade0.2_b1.5_d0.5,100,1.5,0.5,20,173,t27 t86 t66 t2 t30 t92 t78 t44 t71 t35 t45 t29 t57 t88 t26 t63 t96 t52 t100 t75
t2_N200_clade0.2_b1.5_d0.5,200,1.5,0.5,40,346,t80 t32 t44 t1 t141 t16 t192 t57 t185 t170 t118 t149 t116 t150 t62 t50 t93 t143 t163 t10 t198 t178 t157 t126 t75 t8 t41 t11 t23 t122 t169 t114 t47 t165 t117 t108 t52 t51 t124 t26
t2_N400_clade0.2_b1.5_d0.5,400,1.5,0.5,80,428,t280 t129 t59 t23 t393 t57 t234 t176 t258 t359 t5 t223 t246 t353 t209 t271 t265 t122 t22 t172 t180 t193 t372 t283 t392 t55 t4 t31 t37 t356 t178 t138 t355 t358 t105 t267 t14 t27 t368 t302 t133 t90 t306 t218 t331 t145 t197 t53 t344 t46 t309 t29 t132 t13 t282 t269 t163 t229 t206 t108 t153 t111 t351 t149 t190 t329 t20 t100 t337 t380 t316 t84 t173 t247 t315 t101 t192 t357 t58 t291
t3_N10_clade0.2_b1.5_d0.5,10,1.5,0.5,2,19,t10 t7
t3_N50_clade0.2_b1.5_d0.5,50,1.5,0.5,10,55,t45 t40 t25 t44 t21 t12 t10 t1 t35 t22
t3_N100_clade0.2_b1.5_d0.5,100,1.5,0.5,20,133,t77 t62 t73 t78 t19 t44 t88 t92 t75 t96 t49 t98 t51 t1 t59 t94 t53 t4 t57 t60
t3_N200_clade0.2_b1.5_d0.5,200,1.5,0.5,40,361,t115 t192 t106 t196 t38 t57 t84 t24 t64 t12 t98 t114 t169 t61 t78 t132 t143 t66 t186 t89 t28 t178 t104 t185 t160 t56 t121 t81 t71 t15 t138 t18 t25 t95 t157 t47 t111 t4 t49 t44
t3_N400_clade0.2_b1.5_d0.5,400,1.5,0.5,80,721,t195 t170 t353 t343 t276 t3 t368 t314 t132 t81 t23 t386 t40 t394 t102 t134 t311 t399 t126 t99 t78 t12 t120 t358 t337 t296 t257 t27 t25 t348 t307 t244 t98 t373 t201 t356 t156 t113 t232 t5 t171 t376 t277 t96 t188 t48 t86 t70 t214 t294 t379 t108 t189 t82 t208 t121 t268 t320 t34 t136 t273 t44 t18 t104 t2 t31 t16 t17 t291 t103 t147 t127 t235 t148 t328 t255 t154 t243 t124 t216
t4_N10_clade0.2_b1.5_d0.5,10,1.5,0.5,2,14,t10 t7
t4_N50_clade0.2_b1.5_d0.5,50,1.5,0.5,10,79,t6 t12 t34 t29 t15 t46 t5 t49 t47 t25
t4_N100_clade0.2_b1.5_d0.5,100,1.5,0.5,20,181,t18 t90 t32 t10 t88 t64 t69 t82 t85 t80 t40 t74 t53 t78 t9 t96 t63 t97 t14 t81
t4_N200_clade0.2_b1.5_d0.5,200,1.5,0.5,40,205,t10 t161 t129 t15 t69 t97 t48 t39 t135 t59 t53 t139 t54 t46 t114 t194 t45 t36 t81 t40 t160 t125 t140 t145 t16 t138 t146 t186 t30 t123 t71 t155 t178 t173 t18 t28 t68 t21 t74 t79
t4_N400_clade0.2_b1.5_d0.5,400,1.5,0.5,80,668,t131 t216 t198 t377 t262 t149 t264 t277 t10 t85 t218 t350 t186 t342 t47 t381 t358 t278 t290 t375 t368 t135 t310 t247 t226 t51 t268 t155 t15 t45 t96 t175 t208 t244 t14 t146 t151 t367 t334 t75 t29 t171 t207 t44 t376 t109 t9 t4 t130 t322 t167 t296 t48 t337 t288 t181 t139 t271 t398 t338 t240 t127 t83 t108 t23 t24 t78 t382 t1 t119 t258 t153 t214 t301 t394 t21 t159 t70 t294 t355
t5_N10_clade0.2_b1.5_d0.5,10,1.5,0.5,2,18,t3 t2
t5_N50_clade0.2_b1.5_d0.5,50,1.5,0.5,10,53,t6 t14 t43 t7 t44 t24 t18 t3 t2 t38
t5_N100_clade0.2_b1.5_d0.5,100,1.5,0.5,20,156,t80 t72 t61 t6 t21 t37 t41 t48 t88 t40 t60 t23 t38 t50 t19 t14 t3 t39 t28 t53
t5_N200_clade0.2_b1.5_d0.5,200,1.5,0.5,40,277,t89 t46 t141 t10 t91 t31 t53 t25 t16 t47 t79 t26 t188 t142 t140 t194 t23 t173 t2 t191 t146 t166 t37 t113 t8 t51 t84 t61 t192 t45 t159 t81 t13 t82 t110 t151 t115 t107 t58 t200
